split,Conversation_no,turn_count,unique_topics,q_avg,q_min,q_max,a_avg,a_min,a_max,passage_avg,passage_min,passage_max,total_session_tokens
train,905,10,3,7.7,5,14,12,2,39,145.7,138,170,1654
train,906,18,4,9.5,6,13,31.4,3,61,134.9,18,172,3165
train,907,11,2,10.1,4,22,12.7,1,34,133.2,68,205,1716
train,908,11,4,8.3,5,15,6.5,3,15,124.6,43,165,1534
train,909,12,4,7.4,5,10,16.9,3,36,139.7,42,172,1968
train,910,10,3,8.5,4,17,13.5,4,38,133.3,91,146,1553
train,911,11,7,9.9,7,15,19.9,2,41,152.2,110,208,2002
train,912,18,5,6.7,2,10,20.7,2,49,150.7,45,304,3207
train,913,16,7,8.7,5,14,10.1,1,28,132.4,21,174,2420
train,914,5,3,11.4,9,14,5.6,2,14,140.8,139,148,789
train,915,10,3,8.2,4,14,22.6,5,67,158,124,202,1888
train,916,10,5,9.5,6,15,20.8,3,53,141.9,83,191,1722
train,917,15,6,10.2,6,20,22.4,8,55,147.5,37,186,2702
train,918,9,2,9.7,7,12,23,4,55,135.7,114,163,1515
train,919,11,5,7.6,5,10,8.9,1,31,150.7,53,175,1840
train,920,17,5,13.2,6,32,12.5,4,29,126,39,192,2578
train,921,10,5,8.3,4,13,14.1,3,42,130.4,75,160,1528
train,922,13,4,7.5,4,14,10.5,2,45,156.3,127,165,2267
train,923,18,5,6.8,4,10,15.9,1,42,145.6,89,209,3030
train,924,6,3,7.3,5,10,27.5,13,57,128.5,82,163,980
train,925,10,4,6.4,4,9,8.7,2,33,140.9,133,162,1560
train,926,15,4,7.1,2,17,7.1,4,15,158.1,131,174,2585
train,927,15,6,8.6,5,14,15.4,2,57,151.2,42,335,2628
train,928,13,6,8.4,5,16,17.4,4,53,146.2,77,230,2236
train,929,14,5,7.9,5,13,14.9,3,38,127.7,38,158,2107
train,930,11,3,7.3,3,12,9.7,2,20,158,146,171,1925
train,931,12,5,10.6,5,17,15.9,4,51,143.5,47,226,2040
train,932,20,8,9.2,5,14,12.4,2,44,133.7,59,170,3104
train,933,15,4,7,3,16,12.5,2,32,133.9,100,167,2301
train,934,17,4,7.4,5,12,30.1,2,83,146.4,119,191,3125
train,935,14,6,8.1,4,12,9.7,1,19,137.1,56,182,2169
train,936,16,5,8.2,4,11,18.7,4,40,110,12,184,2191
train,937,18,6,6.8,5,12,10.9,3,29,147.4,45,230,2972
train,938,11,6,6.9,5,12,6.5,2,17,128.7,34,164,1564
train,939,18,3,6.8,4,12,22.8,4,84,138.6,37,202,3027
train,940,17,5,7.1,5,10,15.5,2,61,156.6,119,261,3047
train,941,11,5,8.9,7,13,23.4,4,52,144.4,123,188,1943
train,942,18,7,8.4,4,16,23.9,1,65,140.9,75,206,3119
train,943,12,5,7.2,5,11,11.5,1,33,137.7,122,159,1877
train,944,12,4,7.2,5,17,12.1,2,25,151.3,82,183,2048
train,945,11,4,6.8,4,10,9.2,4,15,143.4,49,173,1753
train,946,9,3,8.6,5,13,17.7,2,32,141.2,93,154,1507
train,947,10,2,5.8,5,8,9.5,3,25,151.6,101,181,1669
train,948,18,4,7.4,3,11,15.7,2,67,152.6,35,185,3164
train,949,14,3,7.7,4,13,19.3,2,51,147.9,102,160,2449
train,950,11,6,8.9,7,12,21.5,5,50,138,68,179,1852
train,951,18,6,6.5,4,10,10.8,2,43,153,49,193,3066
train,952,10,3,6.5,5,11,4.3,1,8,151.2,66,203,1620
train,953,10,3,7.7,4,12,7.5,2,25,129.9,27,203,1451
train,954,10,3,7.3,5,13,10.4,3,26,181.1,156,228,1988
train,955,10,4,8.2,4,11,15.7,4,77,136.5,85,171,1604
train,956,10,6,8.6,5,13,23.5,4,48,140.9,54,177,1730
train,957,18,6,9.2,6,13,15.7,1,55,135.7,38,195,2890
train,958,18,5,6.4,4,9,18.1,1,95,130.3,50,185,2786
train,959,12,4,7.8,5,12,35.2,9,53,110.2,25,161,1838
train,960,14,5,9.3,5,21,13.9,3,58,146.8,85,187,2380
train,961,19,6,7.4,4,12,10.2,1,25,126.2,25,172,2733
train,962,18,4,6.9,2,14,17.1,3,46,137.8,46,220,2913
train,963,17,5,7.5,4,12,11.2,1,36,147.5,51,216,2825
train,964,18,7,7.2,4,11,18.9,2,52,135.6,56,249,2910
train,965,11,4,7.5,5,11,7.8,4,12,149.7,133,184,1815
train,966,11,5,7.1,5,10,14,2,27,147,128,169,1849
train,967,11,5,7.4,3,13,8.6,1,33,152.5,66,216,1853
train,968,11,4,9.4,6,15,12.7,4,29,163.4,42,216,2040
train,969,14,7,9.1,6,19,13.1,2,69,155.8,132,184,2491
train,970,17,7,8,5,11,11.6,1,24,139.5,37,172,2705
train,971,11,5,8.5,3,14,24.1,4,48,144.9,120,205,1953
train,972,14,2,11.2,5,25,19.4,4,33,143,76,195,2430
train,973,10,2,7.1,5,9,11.1,3,40,148.8,132,185,1670
train,974,15,5,7.8,4,15,15.8,2,46,134.5,77,173,2371
train,975,10,3,7.7,5,16,28.4,4,108,147.6,121,166,1837
train,976,15,6,7.6,5,11,8.9,2,30,152.5,132,181,2535
train,977,13,5,11.6,5,21,28.4,4,94,119.9,26,160,2079
train,978,10,7,7.9,4,10,12.9,2,26,138,119,147,1588
train,979,10,4,8,5,11,9.8,1,25,123.1,54,174,1409
train,980,16,6,7.3,5,11,6.9,2,15,122.3,60,161,2185
train,981,12,7,8.4,5,14,13.8,2,57,143.1,105,182,1984
train,982,10,5,7.6,4,12,9,3,33,140.6,49,193,1572
train,983,16,7,7.8,3,16,7.9,1,26,138.8,66,199,2471
train,984,12,6,7.9,5,10,16.5,2,45,150,133,187,2093
train,985,10,3,7.9,5,11,16.5,4,26,124.9,46,175,1493
train,986,10,3,8.2,5,12,9.3,3,24,156,102,172,1735
train,987,18,7,9.2,6,15,17.7,3,61,137.8,90,171,2964
train,988,11,4,8.5,4,11,16.9,1,53,142.2,62,179,1843
train,989,10,4,11.1,6,21,23.1,2,61,153.3,134,168,1875
train,990,15,6,7.2,4,14,21.7,1,198,119.3,46,206,2222
train,991,18,6,8.8,5,13,16.7,2,54,138.3,59,227,2947
train,992,15,3,7.3,5,10,16.4,1,49,147.7,51,225,2571
train,993,17,3,7.1,4,13,11.9,4,43,135.4,90,198,2626
train,994,10,4,8.6,5,15,9.6,2,25,137.7,75,162,1559
train,995,13,7,9.2,5,18,13.9,2,37,174.8,149,222,2574
train,996,18,5,6.8,5,11,14.4,1,45,130.1,76,158,2724
train,997,15,6,6.6,5,9,11.5,2,26,125,49,189,2147
train,998,17,5,6.3,4,10,11.5,1,32,149.8,103,173,2850
train,999,15,6,6.5,5,14,26.5,1,108,148.5,58,246,2724
train,1000,12,4,9.3,6,20,32.8,4,78,135.6,62,167,2133
train,1001,18,7,8.3,4,14,20.9,1,96,124.9,57,150,2775
train,1002,12,2,9.8,4,18,12.3,3,27,164.7,132,196,2241
train,1003,17,5,6.8,2,12,16.3,4,33,132.3,37,159,2642
train,1004,13,4,6.7,2,12,9.8,2,24,123.8,38,198,1823
train,1005,12,4,9.1,5,13,11.5,1,58,137.2,115,151,1894
train,1006,10,5,9.3,5,15,11.3,3,23,143.7,87,194,1643
train,1007,11,4,8.3,5,12,15.3,2,32,154.5,121,193,1958
train,1008,20,14,9.3,6,12,20.2,2,67,130.9,21,226,3209
train,1009,10,5,10.8,6,14,19.6,3,65,149.7,108,206,1801
train,1010,18,6,10.3,5,31,10.5,3,26,144.7,67,166,2979
train,1011,10,3,6.3,4,11,14.5,4,31,156.2,148,194,1770
train,1012,10,5,8,5,11,14.5,4,27,130.3,29,219,1528
train,1013,11,3,8,5,12,22.5,4,45,146.7,92,211,1949
train,1014,5,2,8,7,9,6.8,3,12,125.6,61,143,702
train,1015,13,5,8.3,5,12,11.1,1,43,137.8,97,177,2044
train,1016,6,2,9,6,12,13.5,5,21,145.3,133,187,1007
train,1017,18,9,8.3,5,14,16,4,34,138.6,33,205,2933
train,1018,13,4,7.5,5,13,15.8,4,32,143.3,75,185,2167
train,1019,20,6,6.6,3,12,9.7,1,56,148.3,104,175,3292
train,1020,11,6,8.5,5,12,8,1,28,127.3,38,196,1581
train,1021,12,4,6.9,3,12,13.7,1,58,124.5,54,216,1741
train,1022,14,5,7.6,4,11,11.4,2,23,140.1,63,201,2228
train,1023,11,4,8.6,6,11,17.5,3,44,137.3,105,150,1798
train,1024,12,5,6.8,5,9,16.2,3,38,136.7,41,168,1916
train,1025,6,2,7.5,5,10,11.5,2,31,182.2,138,233,1207
train,1026,20,8,7.8,4,12,11.9,2,31,158.2,104,204,3558
train,1027,10,3,7.6,5,10,20,2,53,146,118,165,1736
train,1028,8,4,6.5,5,12,14.6,3,62,143.8,137,160,1319
train,1029,18,5,7.8,5,13,23.5,2,63,146.6,49,189,3202
train,1030,13,3,8.9,5,13,15.6,1,35,141.8,62,181,2163
train,1031,12,4,7.5,5,9,9.2,2,29,157.7,141,187,2092
train,1032,18,4,7.4,4,10,15.4,5,34,142,85,196,2967
train,1033,11,5,9,5,13,8.8,2,25,122.9,76,182,1548
train,1034,6,3,8.7,7,10,3.5,2,5,132,74,162,865
train,1035,10,4,7.7,4,10,10.1,2,33,132.9,66,169,1507
train,1036,12,4,7.5,4,15,10.2,3,23,158.3,100,184,2113
train,1037,12,5,6.8,5,9,5,2,11,159.8,114,195,2059
train,1038,11,4,8.8,5,13,10.4,2,38,144.4,121,170,1799
train,1039,10,5,7.7,4,14,13.4,2,35,151.1,121,172,1722
train,1040,10,3,6.5,4,9,17.5,2,39,129.1,19,171,1531
train,1041,19,4,8.6,4,14,11.9,2,33,154.2,61,224,3320
train,1042,11,5,9.7,4,14,9.4,1,23,129.5,53,165,1635
train,1043,12,5,8.4,5,12,15.8,2,49,115.5,49,159,1677
train,1044,10,5,9,6,13,17.5,3,40,139.8,20,216,1663
train,1045,10,2,8.7,3,15,9.9,1,44,152,104,172,1706
train,1046,12,5,8.5,3,16,6.5,2,16,117.7,55,156,1592
train,1047,14,6,9.2,6,12,15.2,3,46,132.4,60,193,2195
train,1048,7,5,7,5,11,7.7,2,15,138,110,208,1069
train,1049,18,6,9.3,6,15,13.9,4,28,115.5,33,176,2498
train,1050,10,6,9.4,4,14,19.4,3,64,181.4,49,603,2102
train,1051,10,2,6.4,5,9,21,6,53,145.9,80,163,1733
train,1052,10,2,6.9,4,12,11,3,37,139.9,73,151,1578
train,1053,15,5,10.1,4,17,11.9,1,33,154.4,78,227,2647
train,1054,16,5,7.6,5,11,16.9,2,54,157.9,66,249,2918
train,1055,12,4,7.5,4,13,15,2,47,137.3,84,162,1918
train,1056,13,4,7.2,5,10,14.5,3,57,116,29,145,1790
train,1057,13,4,8.1,4,13,12,3,41,164.5,102,199,2399
train,1058,11,5,8.5,5,11,14.6,3,33,126.9,72,188,1650
train,1059,12,4,7.3,5,11,16.3,4,41,136.2,86,186,1919
train,1060,11,4,7.8,4,17,26.4,3,54,132.4,49,176,1832
train,1061,12,5,10,5,15,21.5,3,37,148.3,125,180,2158
train,1062,19,9,7.4,5,12,20.4,2,68,125.1,37,198,2905
train,1063,13,2,8.4,4,17,8.8,2,27,143.5,15,173,2088
train,1064,15,6,8.7,4,12,13.1,1,31,142.3,106,193,2460
train,1065,15,4,7.7,5,12,10.7,2,41,132.3,69,166,2259
train,1066,15,5,8.1,5,14,6.9,1,17,156.6,62,174,2575
train,1067,18,8,8.8,6,15,18.9,2,51,138,26,177,2983
train,1068,18,7,8.4,5,12,13.2,3,26,142.7,31,230,2957
train,1069,18,6,7.9,4,16,13.7,2,39,133.3,19,184,2788
train,1070,12,7,8.8,6,13,13.2,2,42,137.8,31,190,1919
train,1071,10,3,8.7,6,10,30.1,4,63,136.7,38,236,1755
train,1072,14,7,8,5,11,22.1,1,63,149.3,107,179,2512
train,1073,12,4,7.3,5,10,7.9,1,27,125.5,64,155,1689
train,1074,16,7,6.8,4,10,15.5,2,40,148.9,124,178,2738
train,1075,6,3,7.8,6,11,10.5,4,16,148.5,91,172,1001
train,1076,10,3,6.7,5,12,14.3,4,34,160,140,200,1810
train,1077,13,6,9.5,5,14,15.2,2,30,154.4,102,205,2329
train,1078,15,6,8.4,5,20,12.6,2,43,146.3,63,265,2509
train,1079,15,7,9.2,5,13,30.7,2,116,123.5,34,163,2452
train,1080,16,5,8.1,5,13,11.6,2,34,151,134,164,2731
train,1081,13,2,6.9,5,12,21.3,2,45,136.1,111,161,2136
train,1082,12,5,9.5,4,13,7.9,1,19,159.8,112,199,2126
train,1083,14,8,9.4,5,17,17.8,2,59,140,33,289,2341
train,1084,14,5,6,4,10,13.1,4,28,141.1,108,178,2243
train,1085,19,6,7.8,4,12,11.8,2,32,151.8,68,178,3257
train,1086,10,4,8.4,4,17,7.5,2,19,152.2,71,174,1681
train,1087,13,4,9.3,7,13,13.2,1,39,157.2,48,213,2336
train,1088,11,2,8.6,5,14,24.2,3,73,118.2,83,139,1661
train,1089,11,4,7.7,5,10,16.2,2,61,147,131,158,1880
train,1090,12,5,8.8,4,20,10.6,3,35,150.9,78,184,2043
train,1091,10,2,8,5,12,7,2,15,142.1,130,154,1571
train,1092,18,4,6.5,4,9,17.8,3,47,131.1,48,180,2798
train,1093,16,11,8.3,5,13,29.2,4,95,136.2,31,213,2781
train,1094,17,3,7.1,4,14,16.9,2,96,162.2,142,195,3166
train,1095,11,3,6.5,3,10,18.5,3,61,148.8,103,183,1911
train,1096,10,5,7.1,4,11,19.5,3,46,141.9,71,180,1685
train,1097,11,7,9.1,6,13,33.7,4,76,146.8,119,185,2086
train,1098,12,4,6.7,4,11,18.4,3,57,142.7,62,212,2013
train,1099,16,5,8.9,5,18,9.5,1,34,128.2,81,253,2346
train,1100,15,6,8.9,5,16,17.5,4,44,148.1,56,188,2618
train,1101,13,3,7.5,5,12,9.8,1,28,140.6,46,177,2054
train,1102,11,4,9.9,4,18,24.2,2,46,144.9,98,169,1969
train,1103,18,8,7.9,5,11,11.8,3,51,150.2,108,183,3058
train,1104,16,7,9.7,6,18,13.8,2,49,144.2,77,292,2684
train,1105,13,6,10.4,6,18,13,2,62,139.5,126,161,2117
train,1106,15,4,7.1,4,12,13.3,2,45,160.8,129,201,2718
train,1107,18,4,9.2,4,17,10.9,1,38,157.1,127,238,3188
train,1108,11,3,9.4,6,14,18.8,5,44,126.1,24,172,1697
train,1109,14,4,8,4,12,10.4,2,24,113.9,15,167,1852
train,1110,11,1,5.9,3,13,17.5,3,44,126.5,75,144,1650
train,1111,18,4,7.4,5,14,12.3,2,40,132.6,19,160,2740
train,1112,12,4,9,5,16,11.2,3,36,128.9,19,156,1790
train,1113,11,5,7.5,4,10,11.6,1,28,163.6,126,296,2011
train,1114,10,3,7.2,2,15,13.2,6,21,161.9,137,200,1823
train,1115,10,5,6.3,2,13,12.4,4,49,155.6,133,187,1743
train,1116,15,5,8.2,5,12,16.9,4,66,149.9,30,249,2624
train,1117,18,7,9.8,5,15,17.1,2,41,130.8,39,170,2839
train,1118,12,3,7.9,5,14,9.7,1,23,127.3,55,159,1739
train,1119,14,8,9.1,4,14,27.2,2,72,136.1,81,200,2414
train,1120,12,5,8.1,3,11,7.5,1,17,121,88,153,1639
train,1121,11,5,8.1,4,13,6.9,1,15,155.1,134,167,1871
train,1122,18,4,8.4,4,13,15.2,1,46,121.3,40,164,2610
train,1123,12,4,7.4,5,12,19.7,1,69,148.8,122,193,2111
train,1124,17,4,6.1,4,11,6.8,2,13,146.9,74,233,2716
train,1125,11,4,11.7,5,25,8.3,1,21,106.8,45,160,1395
train,1126,10,7,9.6,6,17,19.9,2,41,136.4,73,163,1659
train,1127,14,6,9.1,6,14,9.6,2,32,149.1,15,212,2351
train,1128,14,4,7.8,5,11,10.4,2,32,134.8,44,222,2142
train,1129,11,2,7.7,4,11,27.8,9,80,132.5,84,157,1849
train,1130,11,3,8.1,5,13,11.3,2,27,144.4,51,171,1801
train,1131,11,3,11,6,19,9.7,4,24,108.4,30,150,1420
train,1132,13,5,7.5,4,11,18.8,2,42,130.4,53,160,2038
train,1133,10,3,7.8,5,11,14.4,2,26,141.3,80,179,1635
train,1134,10,2,6.7,5,9,14.4,1,40,140.3,104,170,1614
train,1135,7,4,10.6,7,12,3.3,2,4,130,75,152,1007
train,1136,10,3,8,5,10,19.3,5,35,105.5,62,155,1328
train,1137,13,5,8.7,4,16,12.9,1,26,163.2,72,204,2403
train,1138,18,6,8.8,4,17,14.4,4,37,135.7,29,187,2860
train,1139,10,5,7.6,5,12,18.9,2,43,134.5,89,154,1610
train,1140,10,3,9.1,6,13,11.3,1,24,139.8,64,185,1602
train,1141,5,3,10.4,8,15,24.2,13,43,130.8,116,156,827
train,1142,11,3,7.3,5,9,10.7,3,38,150.6,132,170,1855
train,1143,16,4,8.9,6,11,9.3,1,28,116.9,56,187,2161
train,1144,14,6,9.1,5,17,10.6,2,29,139.8,62,177,2232
train,1145,14,4,7.4,4,11,27.2,4,62,162.6,67,204,2762
train,1146,10,5,8.1,5,13,22,4,44,135.5,21,187,1656
train,1147,14,6,9.1,5,17,14.8,2,73,114.5,38,157,1938
train,1148,18,4,7.8,4,13,17.3,4,49,147.9,88,173,3115
train,1149,17,4,5.8,2,11,10.1,3,26,138.2,47,283,2620
train,1150,11,4,8.5,5,11,10,3,25,122.7,24,157,1553
train,1151,15,6,8.7,4,12,14.9,3,33,150.5,127,197,2610
train,1152,10,4,8.1,5,11,11.8,1,47,119.8,52,174,1397
train,1153,19,7,7.5,3,12,16.2,1,55,157.3,52,411,3439
train,1154,14,5,9,6,15,17.1,4,26,133.4,67,190,2234
train,1155,13,5,8.5,5,15,20.9,1,59,149.9,58,209,2331
train,1156,10,5,8.3,5,11,14,3,30,149,132,182,1713
train,1157,10,3,8.9,5,12,17.1,2,41,148.5,60,182,1745
train,1158,12,4,9.1,4,14,8.2,2,21,140.6,46,184,1894
train,1159,18,7,8.6,2,16,15.1,2,41,150.8,50,190,3140
train,1160,20,5,6.8,4,13,11.8,1,57,151.4,126,184,3399
train,1161,10,4,6.8,2,12,12.6,2,22,162.5,137,190,1819
train,1162,15,5,7.3,4,11,14.9,1,46,140,41,225,2433
train,1163,16,5,6.7,2,12,11.1,4,43,149,76,282,2668
train,1164,9,3,7.3,4,10,7.1,1,14,163.7,138,192,1603
train,1165,13,6,9.5,5,17,20.5,2,34,132,120,153,2105
train,1166,10,7,7.3,4,12,8.5,1,23,128.5,26,181,1443
train,1167,11,3,6.3,4,10,30.3,4,64,141.9,71,174,1963
train,1168,10,4,7.8,5,13,12.4,4,30,125.9,51,176,1461
train,1169,14,3,8.1,6,11,9.6,2,33,145.1,115,210,2278
train,1170,18,7,7.6,4,10,13,1,72,126.7,49,176,2651
train,1171,18,5,7.3,4,17,14.3,2,34,128.5,35,184,2703
train,1172,7,4,6.7,4,10,11,3,42,142.1,91,155,1119
train,1173,10,4,9.5,7,12,17.4,4,36,124.7,27,188,1516
train,1174,11,4,8.2,5,13,10.7,1,23,146.1,68,192,1815
train,1175,18,4,7.1,5,10,15.8,4,45,118.2,63,179,2540
train,1176,10,5,7.5,6,9,18.2,3,63,126.7,16,186,1524
train,1177,11,6,7.3,4,12,27.2,8,60,134.9,84,181,1863
train,1178,10,5,6.5,4,11,17.3,4,31,132.2,17,214,1560
train,1179,10,6,10.2,4,15,6.4,2,32,131,40,160,1476
train,1180,17,7,6.8,4,9,11.6,1,43,137.6,56,183,2651
train,1181,14,4,7.7,4,13,12.1,3,29,127.9,30,158,2067
train,1182,11,3,7.6,5,13,12.4,2,30,138.4,51,199,1742
train,1183,16,8,6.3,4,11,11.7,3,51,133.9,48,201,2430
train,1184,10,3,8.9,4,15,10.5,1,54,127.4,68,155,1468
train,1185,9,3,9.6,5,17,14.3,2,26,127.1,48,219,1359
train,1186,10,4,7.2,4,12,10.1,3,34,114.9,16,181,1322
train,1187,10,5,7.6,4,13,17.4,2,48,146.6,41,194,1716
train,1188,16,8,8.2,5,13,17.4,2,62,137.6,62,186,2611
train,1189,6,3,7,5,9,5.8,2,8,145,118,181,947
train,1190,11,7,8.5,5,15,25.5,2,69,150.3,18,231,2027
train,1191,16,5,8,2,13,9.4,1,39,135.9,75,158,2452
train,1192,14,3,9.2,4,16,19,2,45,118.6,31,181,2055
train,1193,18,3,8.2,3,12,35.3,5,74,150.8,121,202,3497
train,1194,10,3,8.4,6,10,30.8,4,96,152.6,122,189,1918
train,1195,18,4,7.7,5,11,25.9,3,66,155.7,54,188,3408
train,1196,10,6,8.1,5,12,34.3,4,67,144.8,96,191,1872
train,1197,6,2,9,6,14,9.8,5,18,146.8,135,157,994
train,1198,10,4,8.3,5,17,8.9,3,22,172.2,149,228,1894
train,1199,18,3,6.9,2,13,10.8,2,38,133.6,47,158,2723
train,1200,13,4,9.8,5,27,11.3,3,32,158.4,45,191,2334
train,1201,8,3,7,4,10,13.8,3,28,140.9,83,168,1293
train,1202,11,5,8.4,4,15,11,1,24,135.5,29,185,1703
train,1203,10,4,10.7,5,20,15.5,4,50,153.5,132,187,1797
train,1204,10,3,7.5,5,11,9.2,3,30,68.6,19,137,853
train,1205,15,5,8.1,5,12,16.1,2,51,146.1,43,204,2556
train,1206,6,4,9.2,7,12,10.3,4,21,171.5,94,277,1146
train,1207,16,3,7,2,10,8.7,2,25,147.2,59,227,2606
train,1208,5,2,7.2,6,9,10.2,3,34,151,143,153,842
train,1209,13,5,7.8,6,11,15.4,2,49,153.8,124,179,2302
train,1210,17,8,8.6,5,14,7.6,2,25,139.2,82,163,2643
train,1211,20,5,6.7,4,13,6.9,1,27,139.9,97,186,3069
train,1212,18,6,7.2,4,12,16.1,2,56,155.7,80,232,3222
train,1213,13,6,7.5,4,11,11.9,3,31,124.8,18,175,1876
train,1214,12,3,7.1,4,13,12.9,3,37,160.4,140,181,2165
train,1215,12,4,8.8,6,12,20.5,4,55,135.2,89,209,1973
train,1216,14,4,7.2,4,11,16.8,2,44,122.1,20,194,2045
train,1217,18,5,10.2,4,18,10.3,2,31,138.1,83,255,2856
train,1218,17,9,9.5,5,19,17.4,3,40,119.8,25,169,2493
train,1219,11,2,7.5,3,14,9.4,4,24,168.5,149,185,2038
train,1220,9,3,6.7,4,11,8.4,2,20,146.9,120,186,1458
train,1221,12,4,8.8,5,14,23.1,3,113,162.2,80,210,2329
train,1222,13,4,7.8,6,10,24.4,6,52,139.6,74,163,2234
train,1223,13,5,7.3,5,10,14.2,2,46,138.3,96,165,2077
train,1224,11,4,9.1,5,17,25.9,2,91,146.3,118,165,1994
train,1225,15,4,8.6,5,13,16.5,4,31,148.9,120,187,2610
train,1226,18,3,6.4,4,13,21.7,4,77,130.2,45,176,2849
train,1227,10,5,8.2,6,10,22.8,4,48,133,85,205,1640
train,1228,19,6,7.7,5,14,15.5,2,44,120.5,29,199,2731
train,1229,12,4,8.7,4,14,20,4,45,99.3,25,146,1536
train,1230,18,7,7.9,3,14,13.9,2,64,157.7,42,184,3231
train,1231,14,5,8,6,13,10.7,1,46,144.4,96,170,2283
train,1232,10,4,7.7,5,11,29.1,2,69,130.2,76,165,1670
train,1233,13,6,6.6,4,9,13.1,3,51,158.6,121,189,2318
train,1234,10,2,8.5,5,13,13.4,1,33,158.3,144,178,1802
train,1235,10,7,8.8,6,11,20.2,4,73,143.9,94,180,1729
train,1236,11,2,6.6,4,11,10.4,1,22,129.7,68,181,1614
train,1237,18,4,6.8,4,11,13.4,3,31,122.2,45,154,2562
train,1238,10,3,8.8,5,21,12.8,2,27,117,29,161,1386
train,1239,16,4,6.7,5,13,9.7,2,26,131.5,35,246,2366
train,1240,13,4,7.5,4,10,21,2,56,117.5,41,194,1898
train,1241,18,4,7.3,4,11,23.7,1,60,153.5,122,188,3321
train,1242,15,5,12.6,7,18,17.6,4,37,142.3,113,185,2587
train,1243,13,7,7.6,5,12,21.3,4,58,133.4,58,184,2110
train,1244,16,6,8.4,5,14,15.5,3,50,151.8,50,244,2812
train,1245,7,5,9.7,6,17,19.4,4,28,140.1,105,175,1185
train,1246,16,5,11.4,5,19,16.8,2,36,145,76,181,2772
train,1247,12,5,7.6,5,13,18.2,4,44,147.9,62,189,2085
train,1248,15,8,7.4,5,11,10.9,3,27,150.8,42,196,2536
train,1249,18,7,9.2,4,19,12.6,1,72,127.7,29,167,2691
train,1250,12,3,8.2,4,13,13.2,2,33,132.8,54,190,1850
train,1251,10,3,7.1,4,12,15.3,3,30,141.4,117,164,1638
train,1252,10,4,8.5,5,17,8.4,1,33,142.4,94,182,1593
train,1253,16,5,7.7,5,12,21.8,3,67,149.1,61,186,2857
train,1254,15,5,7.3,5,11,13.3,5,21,130.7,57,156,2270
train,1255,10,3,7.2,5,14,8.7,2,15,149.6,76,197,1655
train,1256,11,3,8.5,5,13,16.2,2,54,156.4,134,163,1992
train,1257,12,4,8.8,4,18,11.8,3,49,120.1,23,160,1688
train,1258,10,2,7.8,5,13,9.9,2,25,133.4,70,168,1511
train,1259,17,6,8.4,5,13,17.9,2,41,130.2,24,206,2661
train,1260,5,2,7.4,5,10,10,5,24,137.8,123,159,776
train,1261,18,6,8.8,6,13,20.6,3,55,141.1,58,234,3070
train,1262,12,4,8.9,4,22,13.8,4,58,142.8,137,169,1987
train,1263,14,7,7.9,4,13,15.6,2,54,133.6,54,213,2199
train,1264,10,4,8,5,12,5.7,2,13,154.6,75,184,1683
train,1265,13,3,6.4,5,10,12.6,4,43,152.8,85,169,2234
train,1266,10,3,11.3,3,17,27,3,75,144.9,128,163,1832
train,1267,15,6,7.5,4,14,24.9,2,50,142.5,116,182,2624
train,1268,15,5,6.3,2,12,8.3,2,21,149.7,75,194,2464
train,1269,10,4,7.9,5,13,12.6,1,27,143.1,120,167,1636
train,1270,12,2,9.2,4,16,16.8,2,58,135.5,66,170,1937
train,1271,17,4,7.9,4,21,12.9,1,53,147.6,125,166,2865
train,1272,11,2,8.9,4,14,6.4,3,25,117.4,25,181,1459
train,1273,10,4,6.6,5,12,9.8,2,26,147.5,131,160,1639
train,1274,10,3,10.6,7,17,17.1,3,33,136.9,43,188,1646
train,1275,11,3,8.6,5,14,13.3,3,26,85.1,26,169,1177
train,1276,11,5,8.5,5,13,18,5,40,142.7,103,173,1861
train,1277,19,2,5.7,2,11,10.1,2,23,141.1,19,158,2981
train,1278,10,2,8.4,6,17,17.6,3,35,142.6,71,188,1686
train,1279,17,6,10.6,4,20,16.8,1,55,161.2,72,220,3205
train,1280,17,5,8.1,4,13,11.4,2,31,162.6,128,184,3096
train,1281,19,5,9,3,21,15.4,2,51,135.3,38,169,3035
train,1282,10,3,8.2,6,10,10.5,1,29,153.9,124,209,1726
train,1283,15,6,7.3,4,13,19.9,4,64,142.2,80,180,2540
train,1284,10,4,8.9,5,15,22.4,3,41,136.2,91,162,1675
train,1285,16,7,6.6,4,13,15.1,3,35,124.8,80,175,2344
train,1286,10,3,7.9,3,15,15.1,2,35,128.9,54,177,1519
train,1287,11,3,8.5,5,14,19.3,2,51,137.3,65,188,1815
train,1288,10,5,6.9,4,12,13.3,3,49,146.3,117,154,1665
train,1289,20,8,8.1,5,15,17.1,4,42,142.8,78,178,3358
train,1290,17,8,9.2,5,16,15.3,1,45,144.6,43,204,2874
train,1291,15,6,6.2,4,10,11.7,2,57,134.6,38,160,2287
train,1292,10,5,7.9,2,11,11.7,2,30,138.5,98,162,1581
train,1293,18,5,7.7,5,16,20.9,3,62,123.6,61,181,2739
train,1294,18,7,9.2,4,18,10.6,2,31,152.2,119,200,3094
train,1295,12,5,9.3,5,15,16.8,1,68,138.6,50,166,1977
train,1296,14,6,9,4,24,16.1,4,44,135.4,70,189,2247
train,1297,10,3,6.7,5,9,15.5,1,48,146.7,37,181,1689
train,1298,10,3,7.2,4,11,15.1,2,33,151.4,129,184,1737
