feedback_config,task_id,turn_count,q_avg,q_min,q_max,a_avg,a_min,a_max,total_turn_tokens,final_label
CF_EF_UNIT_SNF,BigCodeBench/881,10,326,320,328,307.7,300,329,6337,fail
CF_EF_UNIT_SNF,BigCodeBench/882,10,322.6,160,354,212.5,210,235,5351,fail
CF_EF_UNIT_SNF,BigCodeBench/883,10,1,1,1,496.1,432,568,4971,pass
CF_EF_UNIT_SNF,BigCodeBench/884,10,8,8,8,468.6,412,532,4766,fail
CF_EF_UNIT_SNF,BigCodeBench/885,10,252.5,180,507,255.9,238,326,5084,fail
CF_EF_UNIT_SNF,BigCodeBench/886,10,305.4,229,333,389.8,389,397,6952,fail
CF_EF_UNIT_SNF,BigCodeBench/887,10,145.7,79,687,744.5,264,856,8902,fail
CF_EF_UNIT_SNF,BigCodeBench/888,10,1,1,1,222.8,192,256,2238,pass
CF_EF_UNIT_SNF,BigCodeBench/889,10,8,8,8,271.8,223,327,2798,fail
CF_EF_UNIT_SNF,BigCodeBench/890,10,824.5,806,833,247.1,244,275,10716,fail
CF_EF_UNIT_SNF,BigCodeBench/891,10,8,8,8,303.6,222,398,3116,fail
CF_EF_UNIT_SNF,BigCodeBench/892,10,277.1,261,289,131.3,130,143,4084,fail
CF_EF_UNIT_SNF,BigCodeBench/893,10,412,412,412,336.3,332,343,7483,fail
CF_EF_UNIT_SNF,BigCodeBench/894,10,34.9,1,213,303.7,233,394,3386,pass
CF_EF_UNIT_SNF,BigCodeBench/895,10,310.2,307,311,231.1,228,235,5413,fail
CF_EF_UNIT_SNF,BigCodeBench/896,10,58.5,8,262,192.8,159,238,2513,fail
CF_EF_UNIT_SNF,BigCodeBench/897,10,1,1,1,408.8,260,588,4098,pass
CF_EF_UNIT_SNF,BigCodeBench/898,10,256.9,244,265,149.3,148,161,4062,fail
CF_EF_UNIT_SNF,BigCodeBench/899,10,47.9,8,210,89.9,30,128,1378,fail
CF_EF_UNIT_SNF,BigCodeBench/900,10,184.7,79,1077,753.7,331,841,9384,fail
CF_EF_UNIT_SNF,BigCodeBench/901,10,1034.2,1019,1162,100.1,92,102,11343,fail
CF_EF_UNIT_SNF,BigCodeBench/902,10,222.8,79,792,696.3,256,874,9191,fail
CF_EF_UNIT_SNF,BigCodeBench/903,10,8,8,8,224.1,176,280,2321,fail
CF_EF_UNIT_SNF,BigCodeBench/904,10,8,8,8,241.5,200,288,2495,fail
CF_EF_UNIT_SNF,BigCodeBench/905,10,1,1,1,164.9,131,203,1659,pass
CF_EF_UNIT_SNF,BigCodeBench/906,10,132.4,126,134,239.4,232,278,3718,fail
CF_EF_UNIT_SNF,BigCodeBench/907,10,1,1,1,153.7,130,178,1547,pass
CF_EF_UNIT_SNF,BigCodeBench/908,10,8,8,8,343.9,281,417,3519,fail
CF_EF_UNIT_SNF,BigCodeBench/909,10,97.2,79,202,760.9,335,866,8581,fail
CF_EF_UNIT_SNF,BigCodeBench/910,10,95.3,79,183,844.2,570,1112,9395,fail
CF_EF_UNIT_SNF,BigCodeBench/911,10,1,1,1,179.5,139,227,1805,pass
CF_EF_UNIT_SNF,BigCodeBench/912,10,1,1,1,155.6,125,189,1566,pass
CF_EF_UNIT_SNF,BigCodeBench/913,10,134.9,79,496,820.6,24,1400,9555,fail
CF_EF_UNIT_SNF,BigCodeBench/914,10,8,8,8,321.2,234,426,3292,fail
CF_EF_UNIT_SNF,BigCodeBench/915,10,8,8,8,301.1,235,379,3091,fail
CF_EF_UNIT_SNF,BigCodeBench/916,10,8,8,8,364,305,433,3720,fail
CF_EF_UNIT_SNF,BigCodeBench/917,10,8,8,8,417.4,286,574,4254,fail
CF_EF_UNIT_SNF,BigCodeBench/918,10,390.6,284,434,197,187,242,5876,fail
CF_EF_UNIT_SNF,BigCodeBench/919,10,177.8,79,1008,750.7,347,823,9285,fail
CF_EF_UNIT_SNF,BigCodeBench/920,10,284,279,289,233.8,233,241,5178,fail
CF_EF_UNIT_SNF,BigCodeBench/921,10,319.3,264,612,66.7,35,87,3860,fail
CF_EF_UNIT_SNF,BigCodeBench/922,10,278.6,269,281,949.4,946,956,12280,fail
CF_EF_UNIT_SNF,BigCodeBench/923,10,1,1,1,319.3,278,366,3203,pass
CF_EF_UNIT_SNF,BigCodeBench/924,10,8,8,8,151.6,110,198,1596,fail
CF_EF_UNIT_SNF,BigCodeBench/925,10,1,1,1,138.3,99,179,1393,pass
CF_EF_UNIT_SNF,BigCodeBench/926,10,1,1,1,271.9,237,309,2729,pass
CF_EF_UNIT_SNF,BigCodeBench/927,10,1,1,1,265.2,220,316,2662,pass
CF_EF_UNIT_SNF,BigCodeBench/928,10,280.2,270,285,246.6,242,255,5268,fail
CF_EF_UNIT_SNF,BigCodeBench/929,10,1,1,1,214.4,177,257,2154,pass
CF_EF_UNIT_SNF,BigCodeBench/930,10,109.5,82,148,521.4,237,819,6309,fail
CF_EF_UNIT_SNF,BigCodeBench/931,10,393.4,390,403,193.3,192,205,5867,fail
CF_EF_UNIT_SNF,BigCodeBench/932,10,1,1,1,296.1,266,330,2971,pass
CF_EF_UNIT_SNF,BigCodeBench/933,10,205.9,1,2050,187.2,158,222,3931,pass
CF_EF_UNIT_SNF,BigCodeBench/934,10,177.9,79,563,1033.9,26,1542,12118,fail
CF_EF_UNIT_SNF,BigCodeBench/935,10,8,8,8,174.6,145,209,1826,fail
CF_EF_UNIT_SNF,BigCodeBench/936,10,108.5,79,345,1193,320,1637,13015,fail
CF_EF_UNIT_SNF,BigCodeBench/937,10,1,1,1,213.7,184,248,2147,pass
CF_EF_UNIT_SNF,BigCodeBench/938,10,606.5,591,624,238.9,234,274,8454,fail
CF_EF_UNIT_SNF,BigCodeBench/939,10,108.6,79,316,585.5,254,652,6941,fail
CF_EF_UNIT_SNF,BigCodeBench/940,10,1,1,1,180.3,129,241,1813,pass
CF_EF_UNIT_SNF,BigCodeBench/941,10,154,79,770,721.9,341,791,8759,fail
CF_EF_UNIT_SNF,BigCodeBench/942,10,917.1,743,980,366.2,308,373,12833,fail
CF_EF_UNIT_SNF,BigCodeBench/943,10,250,244,252,273.3,222,291,5233,fail
CF_EF_UNIT_SNF,BigCodeBench/944,10,15.9,1,150,229,168,296,2449,pass
CF_EF_UNIT_SNF,BigCodeBench/945,10,254.5,79,1775,722.7,313,802,9772,fail
CF_EF_UNIT_SNF,BigCodeBench/946,10,115.6,79,386,706.4,246,814,8220,fail
CF_EF_UNIT_SNF,BigCodeBench/947,10,281.8,254,342,215.4,211,255,4972,fail
CF_EF_UNIT_SNF,BigCodeBench/948,10,1,1,1,149.6,101,205,1506,pass
CF_EF_UNIT_SNF,BigCodeBench/949,10,1,1,1,158.3,121,201,1593,pass
CF_EF_UNIT_SNF,BigCodeBench/950,10,1,1,1,208,163,259,2090,pass
CF_EF_UNIT_SNF,BigCodeBench/951,10,338.3,263,355,281.6,278,291,6199,fail
CF_EF_UNIT_SNF,BigCodeBench/952,10,117,114,118,314.3,304,407,4313,fail
CF_EF_UNIT_SNF,BigCodeBench/953,10,102.2,79,282,919.4,443,1079,10216,fail
CF_EF_UNIT_SNF,BigCodeBench/954,10,8,8,8,158,135,183,1660,fail
CF_EF_UNIT_SNF,BigCodeBench/955,10,119.1,79,276,589.3,134,777,7084,fail
CF_EF_UNIT_SNF,BigCodeBench/956,10,356.4,344,465,197.7,33,216,5541,fail
CF_EF_UNIT_SNF,BigCodeBench/957,10,112.2,79,352,718.3,236,828,8305,fail
CF_EF_UNIT_SNF,BigCodeBench/958,10,274.2,233,284,79.6,22,86,3538,fail
CF_EF_UNIT_SNF,BigCodeBench/959,10,8,8,8,191.7,169,217,1997,fail
CF_EF_UNIT_SNF,BigCodeBench/960,10,1,1,1,236.7,214,262,2377,pass
CF_EF_UNIT_SNF,BigCodeBench/961,10,8,8,8,351.3,309,397,3593,fail
CF_EF_UNIT_SNF,BigCodeBench/962,10,8,8,8,434,382,494,4420,fail
CF_EF_UNIT_SNF,BigCodeBench/963,10,8,8,8,366.9,315,427,3749,fail
CF_EF_UNIT_SNF,BigCodeBench/964,10,8,8,8,509.1,446,582,5171,fail
CF_EF_UNIT_SNF,BigCodeBench/965,10,91,79,140,693.7,277,795,7847,fail
CF_EF_UNIT_SNF,BigCodeBench/966,10,97.1,74,236,1329.4,410,1616,14265,fail
CF_EF_UNIT_SNF,BigCodeBench/967,10,136.4,79,516,696.9,335,816,8333,fail
CF_EF_UNIT_SNF,BigCodeBench/968,10,106.9,74,301,928.9,271,1454,10358,fail
CF_EF_UNIT_SNF,BigCodeBench/969,10,107.2,79,327,998.3,45,1454,11055,fail
CF_EF_UNIT_SNF,BigCodeBench/970,10,8,8,8,444.2,403,491,4522,fail
CF_EF_UNIT_SNF,BigCodeBench/971,10,8,8,8,262.1,207,327,2701,fail
CF_EF_UNIT_SNF,BigCodeBench/972,10,116.4,79,394,722,278,823,8384,fail
CF_EF_UNIT_SNF,BigCodeBench/973,10,98.9,82,191,121.9,20,646,2208,fail
CF_EF_UNIT_SNF,BigCodeBench/974,10,8,8,8,249.8,227,275,2578,fail
CF_EF_UNIT_SNF,BigCodeBench/975,10,250,246,264,178.9,172,207,4289,fail
CF_EF_UNIT_SNF,BigCodeBench/976,10,1,1,1,405.5,342,478,4065,pass
CF_EF_UNIT_SNF,BigCodeBench/977,10,494.6,491,503,407.4,406,420,9020,fail
CF_EF_UNIT_SNF,BigCodeBench/978,10,8,8,8,356.3,294,430,3643,fail
CF_EF_UNIT_SNF,BigCodeBench/979,10,112,79,225,665.3,369,776,7773,fail
CF_EF_UNIT_SNF,BigCodeBench/980,10,8,8,8,367.6,284,468,3756,fail
CF_EF_UNIT_SNF,BigCodeBench/981,10,1161.6,679,1387,435.5,423,455,15971,fail
CF_EF_UNIT_SNF,BigCodeBench/982,10,8,8,8,337.2,273,409,3452,fail
CF_EF_UNIT_SNF,BigCodeBench/983,10,270.2,218,278,233.8,225,235,5040,fail
CF_EF_UNIT_SNF,BigCodeBench/984,10,220.3,82,772,692.8,174,1289,9131,fail
CF_EF_UNIT_SNF,BigCodeBench/985,10,8,8,8,509.6,457,569,5176,fail
CF_EF_UNIT_SNF,BigCodeBench/986,10,282.1,274,292,348.6,347,363,6307,fail
CF_EF_UNIT_SNF,BigCodeBench/987,10,448.8,438,453,436.6,435,451,8854,fail
CF_EF_UNIT_SNF,BigCodeBench/988,10,8,8,8,309.4,268,356,3174,fail
CF_EF_UNIT_SNF,BigCodeBench/989,10,277.4,272,278,401,399,419,6784,fail
CF_EF_UNIT_SNF,BigCodeBench/990,10,286.9,283,294,283.5,283,288,5704,fail
CF_EF_UNIT_SNF,BigCodeBench/991,10,315.9,296,479,157.8,157,165,4737,fail
CF_EF_UNIT_SNF,BigCodeBench/992,10,93.9,80,162,130,33,438,2239,fail
CF_EF_UNIT_SNF,BigCodeBench/993,10,100.8,79,238,734.4,359,813,8352,fail
CF_EF_UNIT_SNF,BigCodeBench/994,10,8,8,8,744.3,692,804,7523,fail
CF_EF_UNIT_SNF,BigCodeBench/995,10,90.6,79,136,778.2,435,860,8688,fail
CF_EF_UNIT_SNF,BigCodeBench/996,10,152.2,82,653,1224.5,347,1548,13767,fail
CF_EF_UNIT_SNF,BigCodeBench/997,10,102,79,250,656.9,202,768,7589,fail
CF_EF_UNIT_SNF,BigCodeBench/998,10,408.4,224,1281,288.2,261,294,6966,fail
CF_EF_UNIT_SNF,BigCodeBench/999,10,1306.1,1264,1313,492.5,491,506,17986,fail
CF_EF_UNIT_SNF,BigCodeBench/1000,10,1,1,1,253.6,152,376,2546,pass
CF_EF_UNIT_SNF,BigCodeBench/1001,10,716,695,743,225.6,220,232,9416,fail
CF_EF_UNIT_SNF,BigCodeBench/1002,10,98.9,79,219,749.3,369,803,8482,fail
CF_EF_UNIT_SNF,BigCodeBench/1003,10,167.7,79,584,642.9,282,807,8106,fail
CF_EF_UNIT_SNF,BigCodeBench/1004,10,1367.2,1350,1416,363.2,360,392,17304,fail
CF_EF_UNIT_SNF,BigCodeBench/1005,10,103.8,79,268,758.8,490,821,8626,fail
CF_EF_UNIT_SNF,BigCodeBench/1006,10,586.4,582,590,477.8,463,595,10642,fail
CF_EF_UNIT_SNF,BigCodeBench/1007,10,1,1,1,308.2,278,342,3092,pass
CF_EF_UNIT_SNF,BigCodeBench/1008,10,835,803,1113,324.1,323,334,11591,fail
CF_EF_UNIT_SNF,BigCodeBench/1009,10,116.5,74,256,1226.9,292,1617,13434,fail
CF_EF_UNIT_SNF,BigCodeBench/1010,10,219.9,201,299,384.8,384,392,6047,fail
CF_EF_UNIT_SNF,BigCodeBench/1011,10,289.7,79,1300,653.8,190,842,9435,fail
CF_EF_UNIT_SNF,BigCodeBench/1012,10,127.2,79,502,716.2,304,808,8434,fail
CF_EF_UNIT_SNF,BigCodeBench/1013,10,1304.7,1114,2259,326.5,315,381,16312,fail
CF_EF_UNIT_SNF,BigCodeBench/1014,10,198.3,1,433,309,25,1031,5073,pass
CF_EF_UNIT_SNF,BigCodeBench/1015,10,693.1,576,1026,556.5,554,579,12496,fail
CF_EF_UNIT_SNF,BigCodeBench/1016,10,732.8,487,844,358.7,351,370,10915,fail
CF_EF_UNIT_SNF,BigCodeBench/1017,10,1,1,1,528.1,421,653,5291,pass
CF_EF_UNIT_SNF,BigCodeBench/1018,10,8,8,8,391.2,317,477,3992,fail
CF_EF_UNIT_SNF,BigCodeBench/1019,10,534.9,429,705,327.3,324,349,8622,fail
CF_EF_UNIT_SNF,BigCodeBench/1020,10,8,8,8,344.2,252,452,3522,fail
CF_EF_UNIT_SNF,BigCodeBench/1021,10,1,1,1,270.5,244,300,2715,pass
CF_EF_UNIT_SNF,BigCodeBench/1022,10,89.2,79,122,760.9,441,839,8501,fail
CF_EF_UNIT_SNF,BigCodeBench/1023,10,100.6,79,236,723.4,415,825,8240,fail
CF_EF_UNIT_SNF,BigCodeBench/1024,10,1149.5,1127,1163,333.3,330,339,14828,fail
CF_EF_UNIT_SNF,BigCodeBench/1025,10,1679.4,824,1861,310.9,302,313,19903,fail
CF_EF_UNIT_SNF,BigCodeBench/1026,10,121.1,79,441,879,860,982,10001,fail
CF_EF_UNIT_SNF,BigCodeBench/1027,10,281.1,277,288,249.2,246,278,5303,fail
CF_EF_UNIT_SNF,BigCodeBench/1028,10,8,8,8,288,215,375,2960,fail
CF_EF_UNIT_SNF,BigCodeBench/1029,10,754.1,728,764,234.4,232,256,9885,fail
CF_EF_UNIT_SNF,BigCodeBench/1030,10,508.2,8,1284,180.5,157,223,6887,timeout
CF_EF_UNIT_SNF,BigCodeBench/1031,10,629.1,600,655,316.2,315,327,9453,fail
CF_EF_UNIT_SNF,BigCodeBench/1032,10,842.9,781,995,475,471,487,13179,fail
CF_EF_UNIT_SNF,BigCodeBench/1033,10,1310.1,1233,1664,129.7,129,136,14398,fail
CF_EF_UNIT_SNF,BigCodeBench/1034,10,753.8,746,777,307.8,306,324,10616,fail
CF_EF_UNIT_SNF,BigCodeBench/1035,10,309.7,82,2319,850.5,428,1288,11602,fail
CF_EF_UNIT_SNF,BigCodeBench/1036,10,112.1,79,351,757.7,330,857,8698,fail
CF_EF_UNIT_SNF,BigCodeBench/1037,10,120.7,82,269,838.9,627,1221,9596,fail
CF_EF_UNIT_SNF,BigCodeBench/1038,10,8,8,8,161.5,85,253,1695,fail
CF_EF_UNIT_SNF,BigCodeBench/1039,10,966,631,1054,363.5,363,368,13295,fail
CF_EF_UNIT_SNF,BigCodeBench/1040,10,8,8,8,413.7,353,481,4217,timeout
CF_EF_UNIT_SNF,BigCodeBench/1041,10,113.1,82,157,83.9,17,164,1970,fail
CF_EF_UNIT_SNF,BigCodeBench/1042,10,134.7,79,567,850.3,375,1576,9850,fail
CF_EF_UNIT_SNF,BigCodeBench/1043,10,862.8,787,1115,306.1,303,310,11689,fail
CF_EF_UNIT_SNF,BigCodeBench/1044,10,99.2,79,222,813.2,535,1029,9124,fail
CF_EF_UNIT_SNF,BigCodeBench/1045,10,256.5,249,261,409.9,409,418,6664,fail
CF_EF_UNIT_SNF,BigCodeBench/1046,10,905.1,894,907,208.6,208,214,11137,fail
CF_EF_UNIT_SNF,BigCodeBench/1047,10,1,1,1,144.3,93,205,1453,pass
CF_EF_UNIT_SNF,BigCodeBench/1048,10,1,1,1,206.5,148,276,2075,pass
CF_EF_UNIT_SNF,BigCodeBench/1049,10,180,79,569,696.4,300,826,8764,fail
CF_EF_UNIT_SNF,BigCodeBench/1050,10,1,1,1,268.9,214,334,2699,pass
CF_EF_UNIT_SNF,BigCodeBench/1051,10,121.2,79,442,725.3,330,786,8465,fail
CF_EF_UNIT_SNF,BigCodeBench/1052,10,1502.9,1209,1583,241,240,250,17439,fail
CF_EF_UNIT_SNF,BigCodeBench/1053,10,303.3,263,442,677.7,674,687,9810,fail
CF_EF_UNIT_SNF,BigCodeBench/1054,10,1,1,1,575.9,503,663,5769,pass
CF_EF_UNIT_SNF,BigCodeBench/1055,10,163.6,79,866,743.7,356,792,9073,fail
CF_EF_UNIT_SNF,BigCodeBench/1056,10,155.8,8,339,342.2,282,462,4980,fail
CF_EF_UNIT_SNF,BigCodeBench/1057,10,113.1,79,361,761.5,441,832,8746,fail
CF_EF_UNIT_SNF,BigCodeBench/1058,10,1136,971,1453,329.3,329,332,14653,fail
CF_EF_UNIT_SNF,BigCodeBench/1059,10,98.2,82,129,523.5,135,1463,6217,fail
CF_EF_UNIT_SNF,BigCodeBench/1060,10,102.2,79,252,749.3,670,764,8515,fail
CF_EF_UNIT_SNF,BigCodeBench/1061,10,1,1,1,411.2,348,484,4122,pass
CF_EF_UNIT_SNF,BigCodeBench/1062,10,8,8,8,521,477,573,5290,fail
CF_EF_UNIT_SNF,BigCodeBench/1063,10,8,8,8,213.2,162,274,2212,fail
CF_EF_UNIT_SNF,BigCodeBench/1064,10,203.9,195,265,217.4,195,222,4213,fail
CF_EF_UNIT_SNF,BigCodeBench/1065,10,8,8,8,246.6,199,303,2546,fail
CF_EF_UNIT_SNF,BigCodeBench/1066,10,90.3,79,133,634.3,266,724,7246,fail
CF_EF_UNIT_SNF,BigCodeBench/1067,10,143.8,79,668,744.5,417,814,8883,fail
CF_EF_UNIT_SNF,BigCodeBench/1068,10,129.2,79,522,726.7,331,817,8559,fail
CF_EF_UNIT_SNF,BigCodeBench/1069,10,110.6,89,290,83.9,28,314,1945,fail
CF_EF_UNIT_SNF,BigCodeBench/1070,10,753.8,724,762,448.4,445,455,12022,fail
CF_EF_UNIT_SNF,BigCodeBench/1071,10,146.4,79,694,854.8,527,897,10012,fail
CF_EF_UNIT_SNF,BigCodeBench/1072,10,1,1,1,140,103,183,1410,pass
CF_EF_UNIT_SNF,BigCodeBench/1073,10,368,368,368,284.7,282,309,6527,fail
CF_EF_UNIT_SNF,BigCodeBench/1074,10,882.1,862,891,243.1,239,256,11252,fail
CF_EF_UNIT_SNF,BigCodeBench/1075,10,119.6,79,299,718.9,265,1365,8385,fail
CF_EF_UNIT_SNF,BigCodeBench/1076,10,225.4,1,970,354.5,73,431,5799,pass
CF_EF_UNIT_SNF,BigCodeBench/1077,10,248.1,8,852,307.5,270,364,5556,fail
CF_EF_UNIT_SNF,BigCodeBench/1078,10,283.7,246,408,375.4,373,381,6591,fail
CF_EF_UNIT_SNF,BigCodeBench/1079,10,225.5,218,253,234.7,234,241,4602,fail
CF_EF_UNIT_SNF,BigCodeBench/1080,10,356.4,261,1155,380.6,374,383,7370,fail
CF_EF_UNIT_SNF,BigCodeBench/1081,10,655.3,334,693,862.8,249,931,15181,fail
CF_EF_UNIT_SNF,BigCodeBench/1082,10,112.1,79,351,741,298,841,8531,fail
CF_EF_UNIT_SNF,BigCodeBench/1083,10,109.8,79,167,892.7,244,1452,10025,fail
CF_EF_UNIT_SNF,BigCodeBench/1084,10,1781,1197,2332,377.7,372,404,21587,fail
CF_EF_UNIT_SNF,BigCodeBench/1085,10,1468.5,886,1615,223.2,216,256,16917,fail
CF_EF_UNIT_SNF,BigCodeBench/1086,10,8,8,8,336.3,224,472,3443,fail
CF_EF_UNIT_SNF,BigCodeBench/1087,10,1251.6,1031,1382,246.4,244,268,14980,fail
CF_EF_UNIT_SNF,BigCodeBench/1088,10,312.3,74,990,580.6,147,811,8929,fail
CF_EF_UNIT_SNF,BigCodeBench/1089,10,1,1,1,309,272,352,3100,pass
CF_EF_UNIT_SNF,BigCodeBench/1090,10,8,8,8,304.5,264,352,3125,fail
CF_EF_UNIT_SNF,BigCodeBench/1091,10,8,8,8,370,308,444,3780,fail
CF_EF_UNIT_SNF,BigCodeBench/1092,10,456.2,448,461,330.8,329,347,7870,fail
CF_EF_UNIT_SNF,BigCodeBench/1093,10,8,8,8,145,122,170,1530,fail
CF_EF_UNIT_SNF,BigCodeBench/1094,10,111.5,79,345,726.8,286,825,8383,fail
CF_EF_UNIT_SNF,BigCodeBench/1095,10,102.9,82,251,1068.8,332,1388,11717,fail
CF_EF_UNIT_SNF,BigCodeBench/1096,10,110.4,79,334,728.9,300,814,8393,fail
CF_EF_UNIT_SNF,BigCodeBench/1097,10,1,1,1,2046.6,829,3533,20476,pass
CF_EF_UNIT_SNF,BigCodeBench/1098,10,284.7,86,446,86.2,14,254,3709,fail
CF_EF_UNIT_SNF,BigCodeBench/1099,10,140.8,73,658,1395.2,360,1740,15360,fail
CF_EF_UNIT_SNF,BigCodeBench/1100,10,300.2,284,446,499.2,483,501,7994,fail
CF_EF_UNIT_SNF,BigCodeBench/1101,10,484.8,470,493,217.2,209,222,7020,fail
CF_EF_UNIT_SNF,BigCodeBench/1102,10,376.2,1,1153,289.1,252,449,6653,pass
CF_EF_UNIT_SNF,BigCodeBench/1103,10,8,8,8,231.3,197,269,2393,fail
CF_EF_UNIT_SNF,BigCodeBench/1104,10,231.7,82,257,267.4,236,466,4991,fail
CF_EF_UNIT_SNF,BigCodeBench/1105,10,133,79,505,1153.2,318,1593,12862,fail
CF_EF_UNIT_SNF,BigCodeBench/1106,10,1,1,1,278.1,162,418,2791,pass
CF_EF_UNIT_SNF,BigCodeBench/1107,10,1,1,1,259.1,157,381,2601,pass
CF_EF_UNIT_SNF,BigCodeBench/1108,10,361.5,281,381,59.1,23,64,4206,fail
CF_EF_UNIT_SNF,BigCodeBench/1109,10,1,1,1,205.2,176,244,2062,pass
CF_EF_UNIT_SNF,BigCodeBench/1110,10,1205.6,892,1282,202.9,202,211,14085,fail
CF_EF_UNIT_SNF,BigCodeBench/1111,10,669.5,610,677,389.6,389,395,10591,fail
CF_EF_UNIT_SNF,BigCodeBench/1112,10,8,8,8,456.1,246,710,4641,fail
CF_EF_UNIT_SNF,BigCodeBench/1113,10,8,8,8,200.2,177,225,2082,fail
CF_EF_UNIT_SNF,BigCodeBench/1114,10,599.9,586,623,153.9,153,162,7538,fail
CF_EF_UNIT_SNF,BigCodeBench/1115,10,105.3,81,269,100.8,16,537,2061,fail
CF_EF_UNIT_SNF,BigCodeBench/1116,10,316.5,303,319,150.3,147,156,4668,fail
CF_EF_UNIT_SNF,BigCodeBench/1117,10,49.3,8,268,191,46,325,2403,fail
CF_EF_UNIT_SNF,BigCodeBench/1118,10,380.8,364,463,176.3,172,191,5571,fail
CF_EF_UNIT_SNF,BigCodeBench/1119,10,1,1,1,217.9,173,269,2189,pass
CF_EF_UNIT_SNF,BigCodeBench/1120,10,8,8,8,407,359,463,4150,fail
CF_EF_UNIT_SNF,BigCodeBench/1121,10,8,8,8,407,359,463,4150,fail
CF_EF_UNIT_SNF,BigCodeBench/1122,10,107.9,74,344,1259,321,1637,13669,fail
CF_EF_UNIT_SNF,BigCodeBench/1123,10,93.8,79,168,822.8,508,1059,9166,fail
CF_EF_UNIT_SNF,BigCodeBench/1124,10,257.1,256,264,311.9,311,320,5690,fail
CF_EF_UNIT_SNF,BigCodeBench/1125,10,8,8,8,185.5,152,224,1935,fail
CF_EF_UNIT_SNF,BigCodeBench/1126,10,1,1,1,170.5,148,196,1715,pass
CF_EF_UNIT_SNF,BigCodeBench/1127,10,108.8,79,313,597.1,77,790,7059,fail
CF_EF_UNIT_SNF,BigCodeBench/1128,10,8,8,8,254.8,196,324,2628,fail
CF_EF_UNIT_SNF,BigCodeBench/1129,10,1,1,1,391,339,451,3920,pass
CF_EF_UNIT_SNF,BigCodeBench/1130,10,8,8,8,325.7,274,386,3337,fail
CF_EF_UNIT_SNF,BigCodeBench/1131,10,84.7,1,157,225.4,207,254,3101,pass
CF_EF_UNIT_SNF,BigCodeBench/1132,10,8,8,8,226.8,189,269,2348,fail
CF_EF_UNIT_SNF,BigCodeBench/1133,10,1,1,1,261.9,239,287,2629,pass
CF_EF_UNIT_SNF,BigCodeBench/1134,10,94.2,79,172,575.3,412,612,6695,fail
CF_EF_UNIT_SNF,BigCodeBench/1135,10,1,1,1,294.4,260,332,2954,pass
CF_EF_UNIT_SNF,BigCodeBench/1136,10,760.8,425,802,306.9,286,424,10677,fail
CF_EF_UNIT_SNF,BigCodeBench/1137,10,158.8,82,239,485.4,251,813,6442,fail
CF_EF_UNIT_SNF,BigCodeBench/1138,10,1,1,1,257.6,228,292,2586,pass
CF_EF_UNIT_SNF,BigCodeBench/1139,10,540.2,280,1169,200.2,173,227,7404,fail
CF_EF_FULL_SNF,BigCodeBench/0,10,910,627,980,305.1,286,311,12151,fail
CF_EF_FULL_SNF,BigCodeBench/1,10,1,1,1,222.4,189,261,2234,pass
CF_EF_FULL_SNF,BigCodeBench/2,10,269.2,214,314,360,219,439,6292,fail
CF_EF_FULL_SNF,BigCodeBench/3,10,1,1,1,191.8,162,226,1928,pass
CF_EF_FULL_SNF,BigCodeBench/4,10,1,1,1,288.6,259,323,2896,pass
CF_EF_FULL_SNF,BigCodeBench/5,10,475.4,474,484,304.4,302,326,7798,fail
CF_EF_FULL_SNF,BigCodeBench/6,10,1,1,1,251.1,228,276,2521,pass
CF_EF_FULL_SNF,BigCodeBench/7,10,1,1,1,373.4,340,412,3744,pass
CF_EF_FULL_SNF,BigCodeBench/8,10,311.5,227,627,349.5,253,420,6610,fail
CF_EF_FULL_SNF,BigCodeBench/9,10,1,1,1,304.6,246,374,3056,pass
CF_EF_FULL_SNF,BigCodeBench/10,10,714.8,704,716,338.3,337,350,10531,fail
CF_EF_FULL_SNF,BigCodeBench/11,10,317.2,226,596,491.6,347,584,8088,fail
CF_EF_FULL_SNF,BigCodeBench/12,10,624.7,206,913,587.3,448,896,12120,fail
CF_EF_FULL_SNF,BigCodeBench/13,10,981.8,963,984,393.2,387,439,13750,fail
CF_EF_FULL_SNF,BigCodeBench/14,10,315.3,194,698,470.3,374,588,7856,fail
CF_EF_FULL_SNF,BigCodeBench/15,10,239,1,389,375,363,387,6140,pass
CF_EF_FULL_SNF,BigCodeBench/16,10,1,1,1,351.1,317,389,3521,pass
CF_EF_FULL_SNF,BigCodeBench/17,10,545.7,543,554,239.4,238,252,7851,fail
CF_EF_FULL_SNF,BigCodeBench/18,10,1,1,1,338.8,284,404,3398,pass
CF_EF_FULL_SNF,BigCodeBench/19,10,12.6,1,117,245.4,212,284,2580,pass
CF_EF_FULL_SNF,BigCodeBench/20,10,2746,2296,2796,162.5,158,163,29085,fail
CF_EF_FULL_SNF,BigCodeBench/21,10,70.2,1,534,79.8,20,116,1500,pass
CF_EF_FULL_SNF,BigCodeBench/22,10,1,1,1,301.6,246,366,3026,pass
CF_EF_FULL_SNF,BigCodeBench/23,10,244.6,196,498,428,326,466,6726,fail
CF_EF_FULL_SNF,BigCodeBench/24,10,1,1,1,242.5,205,285,2435,pass
CF_EF_FULL_SNF,BigCodeBench/25,10,1,1,1,181.9,145,225,1829,pass
CF_EF_FULL_SNF,BigCodeBench/26,10,547.9,538,549,177.1,176,187,7250,fail
